Company Name,Industry,Sector,Country,Report Type,Report Year,Report Link,Source,Download Result
Fortuna Silver Mines Inc,Metals & Mining,Extractives & Minerals Processing,Canada,Sustainability Report,2023,https://fortunasilver.com/site/assets/files/16618/2023_fsm_sr_comp.pdf,SASB,"⚠️ HTTPSConnectionPool(host='fortunasilver.com', port=443): Max retries exceeded with url: /site/assets/files/16618/2023_fsm_sr_comp.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3699410>: Failed to resolve 'fortunasilver.com' ([Errno 11001] getaddrinfo failed)""))"
Fortune Brands Home & Security Inc,Building Products & Furnishings,Consumer Goods,United States,ESG Report,2023,https://www.fbin.com/app/uploads/2024/07/2023-FBIN-ESG-Report-Final_July.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fbin.com', port=443): Max retries exceeded with url: /app/uploads/2024/07/2023-FBIN-ESG-Report-Final_July.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3678F50>: Failed to resolve 'www.fbin.com' ([Errno 11001] getaddrinfo failed)""))"
Forum Energy Technologies Inc,Oil & Gas – Services,Extractives & Minerals Processing,United States,Sustainability Report,2024,https://f-e-t.com/wp-content/uploads/2024/08/Sustainability-Report-2024-Final.pdf,SASB,"⚠️ HTTPSConnectionPool(host='f-e-t.com', port=443): Max retries exceeded with url: /wp-content/uploads/2024/08/Sustainability-Report-2024-Final.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3628B90>: Failed to resolve 'f-e-t.com' ([Errno 11001] getaddrinfo failed)""))"
Forus SA,Multiline and Specialty Retailers & Distributors,Consumer Goods,Chile,Integrated Report,2024,https://s24.q4cdn.com/198225294/files/doc_financials/2024/ar/Memoria-Forus-2024.pdf,SASB,"⚠️ HTTPSConnectionPool(host='s24.q4cdn.com', port=443): Max retries exceeded with url: /198225294/files/doc_financials/2024/ar/Memoria-Forus-2024.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3646E90>: Failed to resolve 's24.q4cdn.com' ([Errno 11001] getaddrinfo failed)""))"
Forward Air Corp,Air Freight & Logistics,Transportation,United States,SASB Index,2023,https://forwardair.metrio.net/indicators/index/index/ind_sasb_index,SASB,"⚠️ HTTPSConnectionPool(host='forwardair.metrio.net', port=443): Max retries exceeded with url: /indicators/index/index/ind_sasb_index (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3621D90>: Failed to resolve 'forwardair.metrio.net' ([Errno 11001] getaddrinfo failed)""))"
Fossil Group Inc,"Apparel, Accessories & Footwear",Consumer Goods,United States,CSR Report,2021,https://www.fossilgroup.com/wp-content/uploads/2022/08/FG_2021SustainabilityReport_FINAL.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fossilgroup.com', port=443): Max retries exceeded with url: /wp-content/uploads/2022/08/FG_2021SustainabilityReport_FINAL.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3629590>: Failed to resolve 'www.fossilgroup.com' ([Errno 11001] getaddrinfo failed)""))"
Fox Corp,Media & Entertainment,Services,United States,CSR Report,2023,https://investor.foxcorporation.com/static-files/f8ff4d41-27bf-4853-9104-a3fe10e692b3,SASB,"⚠️ HTTPSConnectionPool(host='investor.foxcorporation.com', port=443): Max retries exceeded with url: /static-files/f8ff4d41-27bf-4853-9104-a3fe10e692b3 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3693710>: Failed to resolve 'investor.foxcorporation.com' ([Errno 11001] getaddrinfo failed)""))"
Fox Factory Holding Corp,Auto Parts,Transportation,United States,Sustainability Data,2023,https://cdn.shopify.com/s/files/1/0681/2162/4800/files/FOX-DataAnnex-2023.pdf,SASB,"⚠️ HTTPSConnectionPool(host='cdn.shopify.com', port=443): Max retries exceeded with url: /s/files/1/0681/2162/4800/files/FOX-DataAnnex-2023.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3645D50>: Failed to resolve 'cdn.shopify.com' ([Errno 11001] getaddrinfo failed)""))"
Franco-Nevada Corp,Asset Management & Custody Activities,Financials,Canada,ESG Report,2023,https://franco-nevada.relayto.com/cdn/media/files/zWae1tpsQfGjBkD6wbuR_Franco_Nevada_2023_ESG_Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='franco-nevada.relayto.com', port=443): Max retries exceeded with url: /cdn/media/files/zWae1tpsQfGjBkD6wbuR_Franco_Nevada_2023_ESG_Report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3690410>: Failed to resolve 'franco-nevada.relayto.com' ([Errno 11001] getaddrinfo failed)""))"
Frank's International NV,Oil & Gas – Services,Extractives & Minerals Processing,United States,Sustainability Report,2023,https://81422d14c097702b6a9f-fdabdf1ed13d1990275f510cf3764dd3.ssl.cf3.rackcdn.com/Sustainability_Review/2023/357941_Expro_ESG-2023_Full-Doc_Af.pdf,SASB,"⚠️ HTTPSConnectionPool(host='81422d14c097702b6a9f-fdabdf1ed13d1990275f510cf3764dd3.ssl.cf3.rackcdn.com', port=443): Max retries exceeded with url: /Sustainability_Review/2023/357941_Expro_ESG-2023_Full-Doc_Af.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3629890>: Failed to resolve '81422d14c097702b6a9f-fdabdf1ed13d1990275f510cf3764dd3.ssl.cf3.rackcdn.com' ([Errno 11001] getaddrinfo failed)""))"
