Company name,Sector,Industry,Country,Report type,Report year,Report link,Source
Procter & Gamble Co/The,Consumer Goods,Household & Personal Products,United States,SASB Index,2022,https://s1.q4cdn.com/695946674/files/doc_downloads/2023/03/pg_2022_citizenship_sasb_index.pdf,SASB
Procurri Corp Ltd,Technology & Communications,Hardware,Singapore,Corporate Responsibility Reports,2018,https://investor.procurri.com/misc/Procurri-SR2018.pdf,SASB
ProFrac Holding Corp,Extractives & Minerals Processing,Oil & Gas – Services,United States,ESG Report,2023,https://d1io3yog0oux5.cloudfront.net/_7b60d130da95979eb62326603464d1a5/profrac/db/2291/21617/pdf/ProFrac_2023_ESG_FINAL.pdf,SASB
PROG Holdings Inc,Financials,Consumer Finance,United States,ESG Report,2024,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PRG_2021.pdf,Google search
Progress Software Corp,Technology & Communications,Software & IT Services,United States,CSR Report,2021,https://d117h1jjiq768j.cloudfront.net/docs/default-source/progress-for-tomorrow/2021-progress-corporate-social-responsibility-report.pdf?download=true,SASB
Progressive Corp/The,Financials,Insurance,United States,CSR Report,2023,https://s202.q4cdn.com/605347829/files/doc_downloads/2024/09/Progressive_2023CorporateSustainabilityReport.pdf,SASB
Prologid,Infrastructure,Real Estate,United States,Sustainability Report,2023-2024,https://prologis.getbynder.com/m/7237b06a0408e0f7/original/Prologis-2023-24-ESG-Report.pdf,SASB
Prologis Property Mexico SA de CV,Infrastructure,Real Estate,Mexico,ESG Report,2023,https://prologis.getbynder.com/m/341c024f0b023afa/original/Prologis-2022-23-ESG-Report.pdf,SASB
Promigas,Extractives & Minerals Processing,Oil & Gas – Midstream,Colombia,Integrated Report,2024,https://www.promigas.com/Documents/InformeGestion2023/ENG/Integrated%20Report%20Promgias%202023%20%28ING%29.pdf,Google search
ProPetro Holding Corp,Extractives & Minerals Processing,Oil & Gas – Services,United States,Sustainability Report,2024,https://www.propetroservices.com/wp-content/uploads/2024/10/PUMP-2024-Sustainability-Report_FINAL-ADA-min.pdf,SASB
Prosafe SE,Transportation,Marine Transportation,Norway,Annual Report,2023,https://www.prosafe.com/wp-content/uploads/2024/03/Prosafe-Annual-report-2023.pdf,SASB
Prosus NV,Technology & Communications,Internet Media & Services,Netherlands,SASB Index,2021,https://presspage-production-content.s3.amazonaws.com/uploads/2658/prosus-sasb-table.pdf,SASB
Prudential Financial Inc,Financials,Insurance,United States,ESG Report,2021,https://s1.q4cdn.com/379746662/files/sustainability_reports/2021/2020-SASB-Index.pdf,SASB
Prudential PLC,Financials,Insurance,Hong Kong,ESG Report,2024,https://www.prudentialplc.com/~/media/Files/P/Prudential-V13/reports/2024/sustainability-report-2024.pdf,SASB
Prysmian Cabos e Sistemas do Brasil S/A,Resource Transformation,Electrical & Electronic Equipment,Brazil,Integrated Report,2023,https://www.prysmian.com/sites/www.prysmian.com/files/media/documents/Integrated-Annual-Report-2023_0.pdf,SASB
Prysmian SpA,Resource Transformation,Electrical & Electronic Equipment,Italy,SASB Index,2023,https://www.prysmian.com/sites/www.prysmian.com/files/2024-03/PR-2402-BTL-SASB-20232-FINAL.pdf,SASB
"PT Bank Jago, Tbk",Financials,Commercial Banks,Indonesia,Integrated Report,2023,https://assets.jago.com/web-assets/public/Annual_Report_Bank_Jago_2023.pdf,SASB
PT Prodia Widyahusada Tbk.,Health Care,Health Care Delivery,Indonesia,Sustainability Report,2024,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/306919b15b_47a4d32173.pdf,SASB
